replyID,replyDate,typeNameD,title,reply_object,longitude,latitude
15552645,2022-07-26 02:13:00, 投诉/求助 ,高新区住建局和华润燃气严重影响居民正常生活,辽宁省大连市市长陈绍旺,121.614848,38.914086
15531436,2022-07-22 23:49:00, 投诉/求助 ,请求尽快恢复燃气,辽宁省大连市市长陈绍旺,121.614848,38.914086
15530662,2022-07-22 22:33:00, 投诉/求助 ,大连华润燃气公司多种理由拒为市民挂表,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15525642,2022-07-22 06:48:00, 投诉/求助 ,请求恢复燃气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15404871,2022-07-11 22:06:00, 投诉/求助 ,关于安民街燃气改造工程,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15404533,2022-07-11 21:47:00, 投诉/求助 ,关于燃气,辽宁省大连市中山区委书记,121.644926,38.918574
15404221,2022-07-11 21:29:00, 投诉/求助 ,没有燃气,辽宁省大连市市长陈绍旺,121.614848,38.914086
15370422,2022-07-08 05:22:00, 投诉/求助 ,华润私自停气，强迫外立管,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15369844,2022-07-08 04:32:00, 投诉/求助 ,华润燃气野蛮施工并且停气20天,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15327909,2022-07-05 00:32:00, 投诉/求助 ,辽宁省普兰店市天然气停供,辽宁省委书记郝鹏,123.431382,41.836175
15315725,2022-07-04 02:17:00, 投诉/求助 ,于洪区赤山路元江街违停占道严重,辽宁省沈阳市于洪区委书记,123.308119,41.793721
15262672,2022-06-29 04:21:00, 投诉/求助 ,天然气迟迟不通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15158427,2022-06-20 10:46:00, 投诉/求助 ,东都二期物业不作为，社区街道不管,辽宁省委书记郝鹏,120.453744,41.565627
15152440,2022-06-20 01:56:00, 投诉/求助 ,燃气停气改造8个月，施工进展缓慢，通气遥遥无,辽宁省大连市市长陈绍旺,121.614848,38.914086
15121565,2022-06-17 00:31:00, 投诉/求助 ,华润天然气施工一拖再拖,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15064637,2022-06-12 11:00:00, 投诉/求助 ,停气改造8个月，工期进展缓慢，千户居民生活受,辽宁省大连市市长陈绍旺,121.614848,38.914086
14938712,2022-06-01 06:55:00, 投诉/求助 ,天然气表在水槽旁,辽宁省大连市市长陈绍旺,121.614848,38.914086
